"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
ATC,Athletic Trainer Certified,2081H0002X,HOSPICE AND PALLIATIVE MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
ATC,Athletic Trainer Certified,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
ATC,Athletic Trainer Certified,2084N0400X,NEUROLOGY PHYSICIAN,1
ATR-BC,Art Therapist Registered - Board Certified,2080C0008X,CHILD ABUSE PEDIATRICS PHYSICIAN,1
ATR-BC,Art Therapist Registered - Board Certified,2084P0800X,PSYCHIATRY PHYSICIAN,1
AuD,Doctor of Audiology,207YX0007X,PLASTIC SURGERY WITHIN THE HEAD & NECK (OTOLARYNGOLOGY) PHYSICIAN,1
AuD,Doctor of Audiology,207YX0901X,OTOLOGY & NEUROTOLOGY PHYSICIAN,1
AuD,Doctor of Audiology,207YX0905X,OTOLARYNGOLOGY/FACIAL PLASTIC SURGERY PHYSICIAN,1
AuD,Doctor of Audiology,2085N0700X,NEURORADIOLOGY PHYSICIAN,1
AuD,Doctor of Audiology,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,1
AuD,Doctor of Audiology,208600000X,SURGERY PHYSICIAN,1
AuD,Doctor of Audiology,208M00000X,HOSPITALIST PHYSICIAN,1
BA,Bachelor of Arts,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,1
BA,Bachelor of Arts,207RI0200X,INFECTIOUS DISEASE PHYSICIAN,1
